Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg)
West Bengal,411.73,120,Small,2024-11-22,4,Yogurt,Dynamix Dairies,575.79,40.75,23463.44,145,Polythene Packet,2024-10-20,2025-03-14,455.77,36.83,16786.01,Rajasthan,Online,120.02,8.23,173.7
Kerala,347.7,104,Medium,2022-01-26,8,Buttermilk,Dodla Dairy,841.96,16.7,14060.73,113,Ambient,2021-12-16,2022-04-08,464.55,17.35,8059.94,Uttar Pradesh,Wholesale,377.41,41.59,45.36
Maharashtra,148.83,47,Large,2020-06-18,6,Curd,Sudha,803.62,60.61,48707.41,41,Refrigerated,2020-05-09,2020-06-19,609.39,59.47,36240.42,West Bengal,Wholesale,194.23,93.62,165.67
Maharashtra,59.69,62,Medium,2020-04-04,7,Lassi,Dynamix Dairies,285.7,37.58,10736.61,143,Frozen,2020-03-06,2020-07-27,70.54,34.49,2432.92,Gujarat,Wholesale,215.16,23.89,159.76
West Bengal,819.26,96,Medium,2023-10-25,3,Cheese,Passion Cheese,779.02,67.55,52622.8,125,Polythene Packet,2023-10-02,2024-02-04,303.92,61.12,18575.59,West Bengal,Wholesale,475.1,7.11,63.63
Karnataka,879.22,56,Large,2019-05-27,6,Curd,Amul,23.05,60.0,1383.0,36,Refrigerated,2019-04-20,2019-05-26,15.36,60.33,926.67,Chandigarh,Retail,7.69,42.09,166.66
Bihar,323.59,20,Large,2024-01-25,4,Yogurt,Mother Dairy,887.86,50.94,45227.59,28,Ambient,2023-12-07,2024-01-04,385.32,47.2,18187.1,Maharashtra,Retail,502.54,66.18,175.66
Gujarat,813.88,34,Large,2023-04-25,6,Curd,Amul,305.04,81.19,24766.2,104,Frozen,2023-03-05,2023-06-17,84.49,86.45,7304.16,Chandigarh,Online,220.55,78.35,67.75
Rajasthan,625.81,54,Medium,2022-07-06,9,Paneer,Britannia Industries,63.13,58.91,3718.99,74,Tetra Pack,2022-05-27,2022-08-09,14.69,54.13,795.17,Chandigarh,Retail,48.44,61.29,109.33
Tamil Nadu,689.12,93,Medium,2021-02-20,9,Paneer,Raj,765.17,80.58,61657.4,134,Tetra Pack,2021-01-01,2021-05-15,326.17,80.76,26341.49,Karnataka,Wholesale,439.0,65.01,195.85
Chandigarh,244.23,50,Small,2022-03-03,5,Ice Cream,Passion Cheese,775.19,70.5,54650.9,28,Frozen,2022-01-19,2022-02-16,615.95,64.89,39969.0,Bihar,Retail,159.24,40.56,84.91
Karnataka,687.2,78,Medium,2024-05-03,6,Curd,Raj,266.45,35.93,9573.55,140,Polythene Packet,2024-03-06,2024-07-24,148.03,39.4,5832.38,Madhya Pradesh,Wholesale,118.42,62.16,156.22
Madhya Pradesh,680.01,118,Small,2022-08-01,8,Buttermilk,Mother Dairy,853.25,25.5,21757.88,5,Ambient,2022-07-25,2022-07-30,818.61,27.63,22618.19,Maharashtra,Wholesale,34.64,53.05,177.53
West Bengal,296.37,54,Large,2021-06-18,10,Ghee,Amul,439.29,57.98,25470.03,6,Tetra Pack,2021-05-07,2021-05-13,309.6,54.61,16907.26,Telangana,Retail,129.69,20.51,116.86
Haryana,523.52,83,Medium,2019-05-22,3,Cheese,Raj,18.17,50.11,910.5,85,Frozen,2019-05-16,2019-08-09,3.2,47.12,150.78,Jharkhand,Retail,14.97,70.35,186.49
Uttar Pradesh,497.36,22,Large,2023-06-16,8,Buttermilk,Britannia Industries,160.16,46.36,7425.02,147,Polythene Packet,2023-04-22,2023-09-16,103.32,46.06,4758.92,Haryana,Retail,56.84,6.59,24.9
Rajasthan,846.91,108,Small,2021-09-14,5,Ice Cream,Dodla Dairy,531.36,95.87,50941.48,84,Polythene Packet,2021-09-05,2021-11-28,217.8,98.91,21542.6,Bihar,Wholesale,313.56,89.38,120.27
Uttar Pradesh,158.76,104,Medium,2020-05-10,3,Cheese,Raj,762.23,88.87,67739.38,102,Refrigerated,2020-04-07,2020-07-18,706.22,89.37,63114.88,Tamil Nadu,Wholesale,56.01,69.32,38.04
Karnataka,314.08,26,Small,2024-04-29,7,Lassi,Sudha,140.37,39.92,5603.57,61,Polythene Packet,2024-04-09,2024-06-09,53.91,37.05,1997.37,Gujarat,Online,86.46,15.26,183.73
Rajasthan,394.12,79,Medium,2019-06-10,6,Curd,Sudha,176.14,10.69,1882.94,106,Frozen,2019-05-07,2019-08-21,24.05,11.27,271.04,Maharashtra,Wholesale,152.09,48.0,186.57
Jharkhand,304.66,81,Small,2020-01-20,7,Lassi,Sudha,954.15,49.42,47154.09,125,Refrigerated,2019-11-24,2020-03-28,320.89,52.32,16788.96,Tamil Nadu,Retail,633.26,70.27,45.68
Tamil Nadu,818.49,69,Large,2019-04-16,9,Paneer,Britannia Industries,322.2,71.47,23027.63,83,Polythene Packet,2019-03-28,2019-06-19,45.84,76.0,3483.84,Rajasthan,Retail,276.36,32.78,51.13
Chandigarh,421.57,46,Large,2021-04-14,5,Ice Cream,Dynamix Dairies,750.24,18.66,13999.48,33,Refrigerated,2021-03-02,2021-04-04,201.52,18.56,3740.21,Gujarat,Online,548.72,28.57,54.68
Jharkhand,808.4,29,Medium,2021-01-16,1,Milk,Dynamix Dairies,143.87,37.76,5432.53,113,Polythene Packet,2021-01-06,2021-04-29,26.66,38.0,1013.08,Karnataka,Wholesale,117.21,96.35,131.78
Jharkhand,258.7,72,Small,2024-02-12,5,Ice Cream,Mother Dairy,980.84,24.27,23804.99,16,Polythene Packet,2024-01-13,2024-01-29,333.51,22.6,7537.33,Madhya Pradesh,Wholesale,647.33,49.08,31.07
Tamil Nadu,580.59,46,Large,2021-03-01,4,Yogurt,Amul,736.96,90.16,66444.31,47,Frozen,2021-02-20,2021-04-08,686.45,81.95,56254.58,Tamil Nadu,Online,50.51,81.09,28.6
Jharkhand,242.86,98,Small,2021-11-06,2,Butter,Amul,592.99,50.02,29661.36,8,Polythene Packet,2021-10-04,2021-10-12,268.96,54.76,14728.25,Delhi,Retail,324.03,77.99,97.11
Gujarat,374.79,26,Small,2024-06-06,8,Buttermilk,Passion Cheese,481.68,13.44,6473.78,31,Tetra Pack,2024-05-19,2024-06-19,5.46,14.27,77.91,Kerala,Online,476.22,11.41,80.11
Bihar,191.02,28,Large,2020-08-25,1,Milk,Dynamix Dairies,410.47,94.44,38764.79,73,Refrigerated,2020-08-11,2020-10-23,379.6,88.91,33750.24,Kerala,Wholesale,30.87,60.32,153.52
Jharkhand,604.2,112,Medium,2024-08-23,9,Paneer,Dodla Dairy,965.49,74.08,71523.5,145,Ambient,2024-08-12,2025-01-04,433.77,78.52,34059.62,Maharashtra,Wholesale,531.72,46.68,163.95
Chandigarh,736.26,118,Small,2024-12-30,9,Paneer,Sudha,919.61,16.17,14870.09,80,Frozen,2024-11-10,2025-01-29,894.52,17.59,15734.61,Chandigarh,Retail,25.09,84.44,140.83
Delhi,733.61,43,Large,2022-05-27,4,Yogurt,Mother Dairy,989.41,56.77,56168.81,142,Tetra Pack,2022-05-12,2022-10-01,733.09,53.34,39103.02,Delhi,Retail,256.32,11.58,78.58
Bihar,388.81,76,Medium,2022-11-09,4,Yogurt,Britannia Industries,480.01,35.2,16896.35,15,Ambient,2022-11-04,2022-11-19,51.5,35.96,1851.94,Chandigarh,Wholesale,428.51,69.99,76.38
Maharashtra,626.58,42,Medium,2019-08-21,7,Lassi,Mother Dairy,778.61,84.54,65823.69,112,Tetra Pack,2019-07-02,2019-10-22,383.24,80.09,30693.69,Maharashtra,Online,395.37,77.44,48.12
Telangana,777.9,60,Large,2019-06-25,3,Cheese,Passion Cheese,944.0,92.1,86942.4,40,Refrigerated,2019-06-03,2019-07-13,148.31,85.63,12699.79,Haryana,Online,795.69,24.46,51.64
Chandigarh,114.72,31,Small,2024-12-13,5,Ice Cream,Mother Dairy,763.63,97.15,74186.65,13,Ambient,2024-12-09,2024-12-22,548.95,88.66,48669.91,West Bengal,Wholesale,214.68,41.82,169.62
Telangana,759.84,47,Large,2024-05-04,1,Milk,Sudha,13.3,66.32,882.06,113,Frozen,2024-03-07,2024-06-28,6.41,71.99,461.46,Rajasthan,Wholesale,6.89,85.29,36.32
Madhya Pradesh,592.27,67,Medium,2023-12-26,7,Lassi,Dodla Dairy,937.06,72.75,68171.11,136,Ambient,2023-12-11,2024-04-25,226.28,66.97,15153.97,Madhya Pradesh,Wholesale,710.78,48.67,63.64
Bihar,875.58,50,Small,2021-05-27,2,Butter,Sudha,774.23,57.24,44316.93,120,Tetra Pack,2021-04-22,2021-08-20,243.95,59.94,14622.36,Maharashtra,Retail,530.28,20.43,181.48
Madhya Pradesh,19.18,117,Small,2024-04-02,6,Curd,Amul,177.4,58.24,10331.78,128,Polythene Packet,2024-03-17,2024-07-23,151.18,60.51,9147.9,Haryana,Online,26.22,7.48,91.39
Chandigarh,372.25,70,Small,2022-12-20,9,Paneer,Passion Cheese,433.99,89.56,38868.14,132,Polythene Packet,2022-11-16,2023-03-28,106.7,87.58,9344.79,Telangana,Wholesale,327.29,49.92,45.49
Madhya Pradesh,31.16,26,Large,2022-06-04,2,Butter,Britannia Industries,24.18,65.84,1592.01,109,Refrigerated,2022-06-02,2022-09-19,18.91,69.95,1322.75,Gujarat,Online,5.27,45.65,185.44
Delhi,434.87,67,Large,2019-02-16,8,Buttermilk,Dodla Dairy,68.63,93.92,6445.73,76,Polythene Packet,2018-12-21,2019-03-07,51.81,86.86,4500.22,Maharashtra,Retail,16.82,21.54,51.43
Rajasthan,412.53,22,Large,2024-10-11,2,Butter,Mother Dairy,787.76,60.07,47320.74,75,Refrigerated,2024-09-04,2024-11-18,289.47,58.08,16812.42,Jharkhand,Wholesale,498.29,93.93,48.04
Kerala,203.6,93,Small,2020-08-11,3,Cheese,Sudha,218.88,12.04,2635.32,147,Ambient,2020-06-23,2020-11-17,184.53,11.18,2063.05,Tamil Nadu,Online,34.35,6.55,128.41
Haryana,15.13,74,Small,2019-09-02,9,Paneer,Amul,779.98,23.61,18415.33,97,Tetra Pack,2019-08-14,2019-11-19,267.58,21.34,5710.16,Jharkhand,Wholesale,512.4,34.0,87.89
Telangana,836.36,65,Medium,2023-05-20,8,Buttermilk,Britannia Industries,322.92,39.7,12819.92,42,Ambient,2023-04-15,2023-05-27,206.59,36.58,7557.06,Delhi,Retail,116.33,12.77,119.09
Rajasthan,810.07,25,Small,2021-10-13,7,Lassi,Britannia Industries,419.94,76.02,31923.84,15,Refrigerated,2021-10-08,2021-10-23,200.44,75.06,15045.03,Chandigarh,Online,219.5,9.77,144.69
Kerala,618.22,34,Small,2024-05-04,7,Lassi,Dynamix Dairies,186.52,25.32,4722.69,90,Tetra Pack,2024-04-12,2024-07-11,20.34,23.28,473.52,Haryana,Wholesale,166.18,64.01,35.58
Kerala,281.72,86,Medium,2020-08-16,1,Milk,Passion Cheese,506.27,21.71,10991.12,52,Tetra Pack,2020-07-08,2020-08-29,227.13,21.01,4772.0,Madhya Pradesh,Retail,279.14,19.88,158.72
Telangana,762.01,28,Large,2020-04-28,5,Ice Cream,Britannia Industries,301.26,71.42,21515.99,43,Refrigerated,2020-03-08,2020-04-20,254.27,75.02,19075.34,Gujarat,Retail,46.99,87.76,198.51
Telangana,462.54,80,Small,2022-12-10,5,Ice Cream,Passion Cheese,754.64,48.87,36879.26,111,Tetra Pack,2022-10-12,2023-01-31,344.21,53.24,18325.74,Karnataka,Wholesale,410.43,36.54,108.27
Jharkhand,21.95,81,Medium,2019-12-23,7,Lassi,Dynamix Dairies,18.8,65.82,1237.42,5,Ambient,2019-12-16,2019-12-21,6.44,71.71,461.81,Telangana,Online,12.36,58.28,193.15
West Bengal,893.2,35,Small,2019-03-09,10,Ghee,Passion Cheese,658.49,83.63,55069.52,103,Frozen,2019-01-14,2019-04-27,441.52,88.02,38862.59,Telangana,Wholesale,216.97,88.63,198.81
Chandigarh,297.05,106,Small,2022-12-02,5,Ice Cream,Dodla Dairy,167.65,39.25,6580.26,105,Frozen,2022-10-09,2023-01-22,73.89,35.98,2658.56,Madhya Pradesh,Wholesale,93.76,43.47,84.09
Kerala,440.68,109,Medium,2019-02-01,7,Lassi,Dynamix Dairies,240.23,95.49,22939.56,62,Refrigerated,2019-01-10,2019-03-13,226.03,86.58,19569.68,Maharashtra,Online,14.2,73.02,76.0
Telangana,363.67,23,Large,2023-01-04,3,Cheese,Mother Dairy,549.44,25.04,13757.98,88,Ambient,2022-12-30,2023-03-28,152.83,26.29,4017.9,Chandigarh,Wholesale,396.61,16.76,166.17
Rajasthan,386.18,59,Medium,2023-03-26,2,Butter,Dynamix Dairies,26.0,22.44,583.44,119,Tetra Pack,2023-02-22,2023-06-21,10.4,21.05,218.92,Madhya Pradesh,Online,15.6,49.76,31.57
Delhi,18.31,43,Large,2022-08-11,2,Butter,Dodla Dairy,54.7,46.07,2520.03,143,Tetra Pack,2022-07-30,2022-12-20,42.67,49.1,2095.1,Jharkhand,Online,12.03,60.97,75.8
Rajasthan,259.66,53,Small,2019-11-07,6,Curd,Dynamix Dairies,885.27,96.89,85773.81,99,Polythene Packet,2019-09-30,2020-01-07,496.47,105.29,52273.33,Rajasthan,Wholesale,388.8,55.35,26.5
Delhi,814.39,51,Medium,2021-04-05,4,Yogurt,Sudha,668.79,28.12,18806.37,36,Frozen,2021-03-12,2021-04-17,301.15,27.57,8302.71,Maharashtra,Online,367.64,76.11,111.64
Chandigarh,242.31,66,Large,2022-08-06,10,Ghee,Dynamix Dairies,139.26,81.42,11338.55,41,Refrigerated,2022-07-29,2022-09-08,45.92,77.28,3548.7,Haryana,Online,93.34,82.3,133.11
Jharkhand,321.3,54,Large,2023-04-16,3,Cheese,Passion Cheese,691.21,42.86,29625.26,62,Frozen,2023-04-02,2023-06-03,388.3,41.09,15955.25,Rajasthan,Wholesale,302.91,78.89,101.12
Jharkhand,193.64,62,Medium,2019-04-19,6,Curd,Sudha,585.13,41.87,24499.39,8,Polythene Packet,2019-04-15,2019-04-23,48.03,42.97,2063.85,Delhi,Retail,537.1,46.67,53.25
Bihar,440.65,95,Small,2022-12-18,2,Butter,Britannia Industries,110.06,90.13,9919.71,70,Ambient,2022-11-03,2023-01-12,15.16,92.49,1402.15,Delhi,Online,94.9,88.94,63.97
Madhya Pradesh,435.89,33,Small,2024-02-16,10,Ghee,Amul,792.8,36.91,29262.25,127,Tetra Pack,2024-02-07,2024-06-13,106.05,39.61,4200.64,West Bengal,Online,686.75,30.77,56.12
Karnataka,188.49,62,Medium,2024-02-12,5,Ice Cream,Dodla Dairy,496.53,97.05,48188.24,83,Refrigerated,2024-01-20,2024-04-12,84.09,105.91,8905.97,Telangana,Online,412.44,56.53,127.37
Telangana,697.83,90,Large,2020-08-21,4,Yogurt,Mother Dairy,607.24,94.16,57177.72,25,Refrigerated,2020-07-08,2020-08-02,375.48,93.23,35006.0,Karnataka,Wholesale,231.76,29.05,57.05
Bihar,484.69,53,Medium,2023-03-07,9,Paneer,Dynamix Dairies,594.99,32.27,19200.33,26,Polythene Packet,2023-01-19,2023-02-14,330.36,32.57,10759.83,Maharashtra,Wholesale,264.63,11.68,138.89
Maharashtra,844.88,109,Large,2024-12-22,2,Butter,Dodla Dairy,757.2,49.76,37678.27,51,Tetra Pack,2024-11-22,2025-01-12,332.14,45.76,15198.73,Uttar Pradesh,Retail,425.06,97.4,65.22
Haryana,124.59,96,Medium,2019-11-10,5,Ice Cream,Passion Cheese,980.07,52.15,51110.65,124,Refrigerated,2019-09-17,2020-01-19,622.98,47.93,29859.43,Jharkhand,Wholesale,357.09,86.03,150.64
Bihar,781.57,109,Large,2024-10-17,6,Curd,Sudha,252.87,69.68,17619.98,88,Tetra Pack,2024-10-01,2024-12-28,225.67,68.59,15478.71,Bihar,Online,27.2,14.71,63.96
Rajasthan,592.77,44,Large,2020-09-10,6,Curd,Britannia Industries,59.16,77.33,4574.84,123,Ambient,2020-07-31,2020-12-01,45.87,79.91,3665.47,Maharashtra,Online,13.29,94.33,181.78
Gujarat,718.84,67,Small,2021-12-29,6,Curd,Britannia Industries,943.11,79.14,74637.73,27,Frozen,2021-12-01,2021-12-28,596.8,76.14,45440.35,Rajasthan,Online,346.31,88.69,148.75
Maharashtra,798.06,94,Large,2024-03-27,9,Paneer,Dynamix Dairies,428.58,60.5,25929.09,28,Polythene Packet,2024-03-05,2024-04-02,396.05,65.36,25885.83,Gujarat,Wholesale,32.53,37.18,77.2
Bihar,704.84,109,Medium,2020-06-08,3,Cheese,Britannia Industries,146.64,88.0,12904.32,73,Ambient,2020-05-31,2020-08-12,133.11,90.61,12061.1,Uttar Pradesh,Retail,13.53,71.4,81.11
Bihar,418.96,67,Small,2022-11-24,10,Ghee,Sudha,811.33,88.69,71956.86,96,Refrigerated,2022-10-06,2023-01-10,586.1,90.96,53311.66,Uttar Pradesh,Wholesale,225.23,9.29,53.85
Haryana,304.6,120,Medium,2021-10-19,8,Buttermilk,Dynamix Dairies,719.51,34.65,24931.02,22,Refrigerated,2021-08-30,2021-09-21,462.38,36.78,17006.34,Gujarat,Online,257.13,68.19,146.37
Karnataka,844.3,87,Large,2021-08-14,6,Curd,Dodla Dairy,378.26,57.82,21870.99,20,Frozen,2021-06-21,2021-07-11,196.6,54.1,10636.06,Chandigarh,Online,181.66,99.83,195.16
Jharkhand,777.4,53,Medium,2023-05-28,2,Butter,Mother Dairy,161.28,57.98,9351.01,62,Frozen,2023-04-09,2023-06-10,24.54,53.48,1312.4,Maharashtra,Wholesale,136.74,78.0,98.69
Telangana,329.44,60,Medium,2024-09-10,8,Buttermilk,Dodla Dairy,531.05,47.07,24996.52,87,Ambient,2024-08-21,2024-11-16,292.4,48.61,14213.56,Maharashtra,Retail,238.65,45.24,159.42
Madhya Pradesh,587.82,24,Medium,2022-09-21,6,Curd,Amul,638.69,84.63,54052.33,117,Tetra Pack,2022-08-30,2022-12-25,202.37,88.24,17857.13,Maharashtra,Online,436.32,98.23,178.65
Delhi,502.61,48,Small,2021-11-24,8,Buttermilk,Dynamix Dairies,10.64,64.11,682.13,20,Refrigerated,2021-09-27,2021-10-17,3.05,66.67,203.34,Kerala,Wholesale,7.59,13.31,172.46
Uttar Pradesh,364.33,90,Medium,2024-01-11,8,Buttermilk,Dodla Dairy,589.87,70.27,41450.16,108,Ambient,2023-12-21,2024-04-07,116.97,76.3,8924.81,Haryana,Retail,472.9,88.43,164.99
Haryana,339.63,115,Medium,2024-02-05,9,Paneer,Dodla Dairy,71.92,95.74,6885.62,139,Ambient,2023-12-13,2024-04-30,22.66,103.38,2342.59,Telangana,Retail,49.26,77.48,72.37
Telangana,616.41,51,Medium,2024-08-19,3,Cheese,Raj,22.11,21.67,479.12,136,Polythene Packet,2024-08-07,2024-12-21,5.7,23.02,131.21,Karnataka,Online,16.41,21.47,143.56
Rajasthan,292.38,117,Large,2022-04-23,10,Ghee,Sudha,35.12,67.86,2383.24,39,Ambient,2022-04-08,2022-05-17,20.7,65.38,1353.37,Madhya Pradesh,Retail,14.42,6.39,50.67
Karnataka,654.54,68,Large,2019-10-07,1,Milk,Mother Dairy,214.14,44.45,9518.52,115,Polythene Packet,2019-08-08,2019-12-01,137.6,45.82,6304.83,Jharkhand,Online,76.54,58.74,126.3
West Bengal,133.75,56,Large,2024-11-14,1,Milk,Sudha,872.03,53.07,46278.63,66,Frozen,2024-09-21,2024-11-26,523.09,58.35,30522.3,Gujarat,Retail,348.94,56.71,71.92
Maharashtra,47.12,49,Small,2022-05-28,7,Lassi,Dynamix Dairies,865.54,72.07,62379.47,144,Ambient,2022-04-07,2022-08-29,225.55,77.29,17432.76,Haryana,Retail,639.99,18.15,199.82
Rajasthan,383.83,30,Large,2020-06-13,5,Ice Cream,Britannia Industries,786.26,33.82,26591.31,90,Refrigerated,2020-05-04,2020-08-02,529.31,36.0,19055.16,Karnataka,Online,256.95,68.1,166.95
Jharkhand,34.55,25,Medium,2023-03-28,1,Milk,Passion Cheese,672.01,83.84,56341.32,17,Ambient,2023-03-01,2023-03-18,196.56,85.08,16723.32,Gujarat,Retail,475.45,72.42,20.55
Bihar,404.13,86,Medium,2024-09-10,6,Curd,Sudha,309.18,68.75,21256.12,123,Ambient,2024-09-01,2025-01-02,38.21,64.38,2459.96,Madhya Pradesh,Wholesale,270.97,38.59,77.29
Telangana,714.2,112,Small,2023-01-21,5,Ice Cream,Mother Dairy,352.45,41.75,14714.79,7,Polythene Packet,2022-12-01,2022-12-08,51.47,38.25,1968.73,West Bengal,Wholesale,300.98,27.65,181.73
Bihar,40.71,73,Small,2021-06-13,9,Paneer,Passion Cheese,389.99,73.69,28738.36,135,Tetra Pack,2021-04-17,2021-08-30,364.0,76.18,27729.52,West Bengal,Retail,25.99,41.26,54.72
Haryana,786.84,36,Medium,2021-12-15,10,Ghee,Mother Dairy,998.0,13.22,13193.56,9,Refrigerated,2021-12-12,2021-12-21,659.81,12.36,8155.25,Haryana,Wholesale,338.19,80.63,35.07
Rajasthan,444.04,34,Small,2022-12-16,8,Buttermilk,Mother Dairy,225.36,12.28,2767.42,46,Frozen,2022-10-21,2022-12-06,215.25,11.53,2481.83,Jharkhand,Wholesale,10.11,40.4,148.27
Madhya Pradesh,167.16,48,Medium,2020-12-04,1,Milk,Mother Dairy,854.51,12.29,10501.93,108,Tetra Pack,2020-10-05,2021-01-21,781.4,12.19,9525.27,Maharashtra,Wholesale,73.11,21.15,25.62
Maharashtra,229.27,48,Large,2020-01-18,7,Lassi,Sudha,603.48,26.71,16118.95,35,Ambient,2019-12-10,2020-01-14,318.51,28.08,8943.76,Tamil Nadu,Online,284.97,80.6,49.6
Gujarat,98.31,103,Small,2024-11-17,5,Ice Cream,Sudha,829.03,75.53,62616.64,87,Refrigerated,2024-10-08,2025-01-03,24.11,82.81,1996.55,Karnataka,Wholesale,804.92,26.32,139.34
West Bengal,160.62,39,Medium,2023-05-03,7,Lassi,Dodla Dairy,26.72,38.43,1026.85,72,Frozen,2023-04-29,2023-07-10,21.02,38.59,811.16,Tamil Nadu,Online,5.7,85.61,35.68
Kerala,388.77,64,Large,2022-09-26,4,Yogurt,Dynamix Dairies,566.87,51.93,29437.56,47,Ambient,2022-08-09,2022-09-25,433.54,47.53,20606.16,Haryana,Online,133.33,84.6,61.09
Gujarat,135.23,51,Medium,2020-02-08,9,Paneer,Passion Cheese,670.2,82.37,55204.37,41,Tetra Pack,2019-12-13,2020-01-23,113.2,88.19,9983.11,Haryana,Online,557.0,82.31,95.3
Gujarat,849.01,51,Large,2020-04-14,1,Milk,Britannia Industries,109.63,17.24,1890.02,21,Frozen,2020-04-03,2020-04-24,15.07,17.89,269.6,Jharkhand,Online,94.56,23.32,130.44
Chandigarh,504.77,107,Medium,2019-01-19,10,Ghee,Sudha,299.92,40.43,12125.77,78,Tetra Pack,2019-01-13,2019-04-01,110.53,39.91,4411.25,Gujarat,Retail,189.39,62.29,193.93
Gujarat,241.44,99,Large,2019-01-20,2,Butter,Mother Dairy,153.59,97.93,15041.07,112,Refrigerated,2018-12-16,2019-04-07,50.59,104.47,5285.14,Uttar Pradesh,Retail,103.0,33.95,124.88
Maharashtra,196.05,81,Medium,2019-05-01,10,Ghee,Dodla Dairy,94.62,11.78,1114.62,146,Frozen,2019-04-19,2019-09-12,89.76,11.68,1048.4,Haryana,Wholesale,4.86,94.13,91.03
Jharkhand,271.37,21,Medium,2021-12-25,6,Curd,Britannia Industries,556.64,22.87,12730.36,59,Tetra Pack,2021-12-20,2022-02-17,483.29,25.02,12091.92,Jharkhand,Online,73.35,58.64,41.44
Tamil Nadu,603.47,73,Large,2024-10-22,8,Buttermilk,Britannia Industries,627.82,48.88,30687.84,49,Polythene Packet,2024-09-09,2024-10-28,97.63,45.2,4412.88,Delhi,Wholesale,530.19,76.17,180.15
Kerala,596.24,55,Medium,2019-05-10,2,Butter,Dynamix Dairies,610.55,66.86,40821.37,43,Refrigerated,2019-03-20,2019-05-02,206.71,70.43,14558.59,Karnataka,Retail,403.84,81.79,22.24
Madhya Pradesh,314.51,46,Large,2022-03-07,3,Cheese,Dodla Dairy,86.81,72.51,6294.59,75,Polythene Packet,2022-01-28,2022-04-13,83.86,68.19,5718.41,Delhi,Online,2.95,41.87,92.05
Gujarat,441.85,62,Small,2023-07-30,10,Ghee,Mother Dairy,661.76,78.19,51743.01,92,Tetra Pack,2023-06-15,2023-09-15,25.01,70.76,1769.71,Rajasthan,Wholesale,636.75,98.5,185.57
Tamil Nadu,83.78,102,Medium,2019-06-26,5,Ice Cream,Britannia Industries,764.67,91.66,70089.65,122,Tetra Pack,2019-05-17,2019-09-16,709.76,84.52,59988.92,Madhya Pradesh,Wholesale,54.91,22.43,139.94
Kerala,514.44,46,Large,2022-02-16,5,Ice Cream,Britannia Industries,994.82,68.84,68483.41,112,Ambient,2022-02-05,2022-05-28,821.38,69.11,56765.57,Rajasthan,Retail,173.44,46.23,74.01
Jharkhand,523.44,111,Medium,2021-06-22,2,Butter,Dynamix Dairies,878.46,49.7,43659.46,88,Ambient,2021-05-17,2021-08-13,559.07,53.71,30027.65,Gujarat,Retail,319.39,29.9,34.13
Bihar,753.62,70,Small,2024-08-24,1,Milk,Amul,931.08,62.61,58294.92,59,Ambient,2024-07-23,2024-09-20,685.33,60.3,41325.4,Delhi,Wholesale,245.75,39.82,51.84
Kerala,405.82,57,Medium,2021-07-05,10,Ghee,Mother Dairy,829.46,49.74,41257.34,141,Tetra Pack,2021-05-21,2021-10-09,665.75,51.02,33966.57,Haryana,Retail,163.71,15.36,68.66
Maharashtra,753.57,38,Medium,2021-12-16,2,Butter,Mother Dairy,720.43,53.76,38730.32,148,Polythene Packet,2021-12-12,2022-05-09,408.76,52.65,21521.21,Kerala,Online,311.67,46.94,153.98
Rajasthan,208.95,106,Medium,2022-08-20,5,Ice Cream,Britannia Industries,631.36,58.49,36928.25,123,Ambient,2022-08-12,2022-12-13,357.06,52.75,18834.92,Jharkhand,Retail,274.3,51.82,123.14
Bihar,468.15,76,Large,2023-07-25,7,Lassi,Passion Cheese,764.59,98.28,75143.91,63,Tetra Pack,2023-06-11,2023-08-13,235.47,91.7,21592.6,Madhya Pradesh,Retail,529.12,66.85,165.81
Chandigarh,326.27,36,Large,2023-01-06,7,Lassi,Mother Dairy,178.75,92.29,16496.84,77,Tetra Pack,2022-12-01,2023-02-16,106.74,91.46,9762.44,Madhya Pradesh,Wholesale,72.01,65.83,190.86
Gujarat,289.89,74,Small,2022-06-17,9,Paneer,Dynamix Dairies,186.08,59.84,11135.03,146,Polythene Packet,2022-05-06,2022-09-29,172.98,62.79,10861.41,Karnataka,Online,13.1,20.43,55.43
Tamil Nadu,142.32,47,Large,2023-07-11,9,Paneer,Sudha,416.46,85.4,35565.68,112,Ambient,2023-06-11,2023-10-01,324.55,92.49,30017.63,Telangana,Online,91.91,71.54,146.44
Maharashtra,541.05,30,Small,2023-09-17,4,Yogurt,Britannia Industries,933.49,94.66,88364.16,122,Tetra Pack,2023-08-11,2023-12-11,758.96,88.98,67532.26,Maharashtra,Retail,174.53,78.28,148.13
Telangana,670.59,45,Medium,2024-10-24,8,Buttermilk,Sudha,982.91,63.36,62277.18,122,Tetra Pack,2024-08-25,2024-12-25,935.63,57.61,53901.64,Karnataka,Wholesale,47.28,72.02,58.9
Delhi,812.75,65,Small,2023-07-26,8,Buttermilk,Raj,57.45,18.09,1039.27,147,Frozen,2023-06-13,2023-11-07,6.99,16.42,114.78,West Bengal,Online,50.46,42.87,168.67
